Rank,Title,Rating,Episodes,URL,Members_Votes,Type,Start Date,Finish Date,Premiered,R-Rating,Generes,Source,Studio
1,Fullmetal Alchemist: Brotherhood,9.15, (64 eps),https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,"2,720,933 ",TV,Apr 2009 , Jul 2010,Premiered: Spring 2009,unkown,unkown,unkown,unkown
2,Gintama°,9.09, (51 eps),https://myanimelist.net/anime/28977/Gintama°,"495,687 ",TV,Apr 2015 , Mar 2016,Premiered: Spring 2015,unkown,unkown,unkown,unkown
3,Shingeki no Kyojin Season 3 Part 2,9.09, (10 eps),https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,"1,650,249 ",TV,Apr 2019 , Jul 2019,Premiered: Spring 2019,unkown,unkown,unkown,unkown
4,Steins;Gate,9.09, (24 eps),https://myanimelist.net/anime/9253/Steins_Gate,"2,122,353 ",TV,Apr 2011 , Sep 2011,Premiered: Spring 2011,unkown,unkown,unkown,unkown
5,Fruits Basket: The Final,9.06, (13 eps),https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,"293,483 ",TV,Apr 2021 , Jun 2021,Premiered: Spring 2021,unkown,unkown,unkown,unkown
6,Gintama',9.06, (51 eps),https://myanimelist.net/anime/9969/Gintama,"437,491 ",TV,Apr 2011 , Mar 2012,Premiered: Spring 2011,unkown,unkown,unkown,unkown
7,Hunter x Hunter (2011),9.05, (148 eps),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,"2,199,656 ",TV,Oct 2011 , Sep 2014,Premiered: Fall 2011,unkown,unkown,unkown,unkown
8,Ginga Eiyuu Densetsu,9.04, (110 eps),https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,"266,616 ",OVA,Jan 1988 , Mar 1997,,unkown,unkown,unkown,unkown
9,Gintama': Enchousen,9.04, (13 eps),https://myanimelist.net/anime/15417/Gintama__Enchousen,"265,703 ",TV,Oct 2012 , Mar 2013,Premiered: Fall 2012,unkown,unkown,unkown,unkown
10,Gintama: The Final,9.03, (1 eps),https://myanimelist.net/anime/39486/Gintama__The_Final,"84,926 ",Movie,Jan 2021 , Jan 2021,,unkown,unkown,unkown,unkown
11,Gintama.,8.98, (12 eps),https://myanimelist.net/anime/34096/Gintama,"251,616 ",TV,Jan 2017 , Mar 2017,Premiered: Winter 2017,unkown,unkown,unkown,unkown
12,Violet Evergarden Movie,8.98, (1 eps),https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,"367,577 ",Movie,Sep 2020 , Sep 2020,,unkown,unkown,unkown,unkown
13,3-gatsu no Lion 2nd Season,8.97, (22 eps),https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,"330,804 ",TV,Oct 2017 , Mar 2018,Premiered: Fall 2017,unkown,unkown,unkown,unkown
14,Koe no Katachi,8.96, (1 eps),https://myanimelist.net/anime/28851/Koe_no_Katachi,"1,823,491 ",Movie,Sep 2016 , Sep 2016,,unkown,unkown,unkown,unkown
15,Clannad: After Story,8.95, (24 eps),https://myanimelist.net/anime/4181/Clannad__After_Story,"1,037,329 ",TV,Oct 2008 , Mar 2009,Premiered: Fall 2008,unkown,unkown,unkown,unkown
16,Gintama,8.95, (201 eps),https://myanimelist.net/anime/918/Gintama,"899,095 ",TV,Apr 2006 , Mar 2010,Premiered: Spring 2006,unkown,unkown,unkown,unkown
17,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94, (1 eps),https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,"199,214 ",Movie,Jul 2013 , Jul 2013,,unkown,unkown,unkown,unkown
18,Code Geass: Hangyaku no Lelouch R2,8.91, (25 eps),https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,"1,490,446 ",TV,Apr 2008 , Sep 2008,Premiered: Spring 2008,unkown,unkown,unkown,unkown
19,Owarimonogatari 2nd Season,8.91, (7 eps),https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,"329,566 ",TV,Aug 2017 , Aug 2017,Premiered: Summer 2017,unkown,unkown,unkown,unkown
