Rank,Title,Score,Episodes,Members_Votes,Type,Premiered,Rating,Source,Studio,Top
1,Fullmetal Alchemist: Brotherhood,9.15,100,2720933,2,2009,2,5,340,1
2,Gintama°,9.09,100,495687,2,2015,2,5,340,1
3,Shingeki no Kyojin Season 3 Part 2,9.09,100,1650249,2,2019,2,5,340,1
4,Steins;Gate,9.09,100,2122353,2,2011,2,5,340,1
5,Fruits Basket: The Final,9.06,100,293483,2,2021,2,5,340,1
6,Gintama',9.06,100,437491,2,2011,2,5,340,1
7,Hunter x Hunter (2011),9.05,100,2199656,2,2011,2,5,340,1
8,Ginga Eiyuu Densetsu,9.04,500,266616,1,1988,2,5,340,1
9,Gintama': Enchousen,9.04,100,265703,2,2012,2,5,340,1
10,Gintama: The Final,9.03,1,84926,0,2021,2,5,340,0
11,Gintama.,8.98,100,251616,2,2017,2,5,340,1
12,Violet Evergarden Movie,8.98,1,367577,0,2020,2,5,340,1
13,3-gatsu no Lion 2nd Season,8.97,100,330804,2,2017,2,5,340,1
14,Koe no Katachi,8.96,1,1823491,0,2016,2,5,340,1
15,Clannad: After Story,8.95,100,1037329,2,2008,2,5,340,1
16,Gintama,8.95,500,899095,2,2006,2,5,340,1
17,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94,1,199214,0,2013,2,5,340,1
18,Code Geass: Hangyaku no Lelouch R2,8.91,100,1490446,2,2008,2,5,340,1
19,Owarimonogatari 2nd Season,8.91,100,329566,2,2017,2,5,340,1
20,Shingeki no Kyojin: The Final Season,8.88,100,1400196,2,2020,2,5,340,1
21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,100,151022,2,2018,2,5,340,1
22,Kimi no Na wa.,8.88,1,2209772,0,2016,2,5,340,1
23,Ousama Ranking,8.86,100,173435,2,2021,2,5,340,1
25,Gintama.: Shirogane no Tamashii-hen,8.82,100,164368,2,2018,2,5,340,1
26,Kizumonogatari III: Reiketsu-hen,8.81,1,378878,0,2017,2,5,340,1
27,Mob Psycho 100 II,8.81,100,1134193,2,2019,2,5,340,1
28,Monster,8.81,100,780922,2,2004,2,5,340,1
29,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.8,100,431150,2,2021,2,5,340,1
30,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.8,100,964964,2,2016,2,5,340,1
31,Sen to Chihiro no Kamikakushi,8.79,1,1516089,0,2001,2,5,340,1
32,Monogatari Series: Second Season,8.78,100,584513,2,2013,2,5,340,1
33,Odd Taxi,8.77,100,219461,2,2021,2,5,340,1
34,Cowboy Bebop,8.77,100,1516995,2,1998,2,5,340,1
35,Kingdom 3rd Season,8.77,100,59529,2,2020,2,5,340,0
36,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.76,100,161789,2,2017,2,5,340,1
37,Mushishi Zoku Shou 2nd Season,8.74,100,226967,2,2014,2,5,340,1
38,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.74,1,241550,0,2020,2,5,340,1
39,Hajime no Ippo,8.74,100,451874,2,2000,2,5,340,1
40,Vinland Saga,8.73,100,987629,2,2019,2,5,340,1
42,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.72,100,248369,1,1999,2,5,340,1
43,Mushishi Zoku Shou,8.71,100,258406,2,2014,2,5,340,1
44,Code Geass: Hangyaku no Lelouch,8.71,100,1885259,2,2006,2,5,340,1
45,Jujutsu Kaisen (TV),8.71,100,1615015,2,2020,2,5,340,1
46,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.7,1,949304,0,2020,2,5,340,0
47,Ashita no Joe 2,8.69,100,38135,2,1980,2,5,340,0
48,Great Teacher Onizuka,8.69,100,686373,2,1999,2,5,340,0
49,Made in Abyss,8.69,100,1062764,2,2017,2,5,340,0
50,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.69,1,295044,0,2020,2,5,340,0
51,Mononoke Hime,8.69,1,1035814,0,1997,2,5,340,0
52,Mushishi,8.68,100,707665,2,2005,2,5,340,0
53,Shigatsu wa Kimi no Uso,8.68,100,1817859,2,2014,2,5,340,0
54,Evangelion: 3.0+1.0 Thrice Upon a Time,8.67,1,256026,0,2021,2,5,340,0
55,Haikyuu!! Second Season,8.66,100,1158707,2,2015,2,5,340,0
56,Hajime no Ippo: New Challenger,8.66,100,230130,2,2009,2,5,340,0
57,Howl no Ugoku Shiro,8.66,1,1051265,0,2004,2,5,340,0
59,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.66,100,964915,2,2020,2,5,340,0
60,Natsume Yuujinchou Shi,8.66,100,214818,2,2012,2,5,340,0
